$	~[,SIF][,DOL][,SI]
赳	~*[YZG]
赴	~*[YZP]
赶	~[YZGR][YZG]
起	~*[YL]::[YZOL][YZFL]
赸	~[YZE]
赹	~*[YZNB][YZNR]
赺	~*[YZAY]
赻	~*[YZS]
赼	~[YZIV][YZI]
赽	~*[YZJ]
赾	~[YZKV][YZK]
赿	~[YZXF][YZX]
趀	~[YZJV][YZJ]
趁	~*[YM]::[YZBM][YZNS]
趂	~*[YZVS]::[YZNSV][YZNS]
趃	~*[YZSN]
趄	~*[YZM]
超	~*[YO]::[YZDO]
趆	~[YZXS][YZX]
趇	~*[YZL]
趈	~*[YZZO]
趉	~*[YZEE][YZEU]
越	~*[UV]::[YZAI][YZAF][YZAP]
趋	~[YZNEV][YZNE]
趌	~*[YZYO]
趍	~*[YZCC]
趎	~*[YZSB][YZSS]
趏	~*[YZGO]
趐	~[YZEEV][YZEE]
趑	~*[YZBI][YZRI]
趒	~*[YZR]::[YZRB]
趓	~*[YZRT]
趔	~*[YZDR]
趕	~*[YG]::[YZDG][YZGV][YZG]
趖	~*[YZBY]
趗	~*[YZOZ]
趘	~*[YZCM]
趙	~*[YZSU]::[YZXV][YZX]
趚	~[YZJSV][YZVSR][YZJS][YZVS]
趛	~[YZAR][YZA]
趜	~*[YZNM]
趝	~*[YZAH]
趞	~*[YZRD]
趟	~*[YZSO]
趠	~*[YZZJ]::[YZQV][YZQ]
趡	~*[YZV]
趢	~*[YZCW][YZEW]
趣	~*[KU]::[YZRU]
趤	~*[YZNO]
趥	~*[YZBE]
趦	~*[YZBO][YZRO]
趧	~*[YZDZ]::[YZJR][YZJ]
趨	~*[ZC]::[YZNE]
趩	~*[YZQB]
趪	~*[YZK]::[YZRBV][YZRB]
趫	~[YZGOV][YZGS][YZG][YZGO]
趬	~*[YZYR]
趭	~*[YZVF]
趮	~*[YZLT][YZOT]
趯	~*[YZEV]
趰	~[YZR]
趲	~[YZSBV][YZSB]
足	~*[OZN]
趴	~[OZBV][OZB]
趵	~*[OZNA]
趶	~[OZUV][OZU]
趷	~*[OZVZ]
趹	~[OZJR][OZJ]
趺	~*[OZQN]
趻	~*[OZAY]
趼	~[OZKV][OZK]
趽	~[OZFR][OZF]
趾	~*[OZZ]
趿	~*[OZPU][OZRN]
跀	~[OZUS][OZU]
跁	~*[OZC]::[OZCL]
跂	~*[OZJU]
跅	~*[OZKA]
跆	~*[OZUO]
跇	~*[OZS]
跈	~*[OZBM]
跉	~*[OZAP][OZAT]
跊	~*[OZQB][OZYS]
跋	~*[OZA]::[OZAX][OZAU]
跌	~*[OZ]::[OZSN]
跍	~*[OZJO]
跎	~*[OZNF]
跏	~*[OZDO]
跐	~*[OZZF]
跑	~*[ON]::[OZNL][OZNV][OZN]
跒	~*[OZTO]
跓	~*[OZAK]
跔	~*[OZNO]
跕	~*[OZZO]
跖	~*[OZLO]
跗	~*[OZPA]
跘	~[OZBR][OZB]
跙	~[OZMR][OZM]
跚	~*[OZM]::[OZNE][OZNR]
跛	~*[OZP]
跜	~*[OZCF]
距	~*[OF]::[OZFF]
跟	~*[QZ]::[OZDK]
跠	~*[OZJB]::[OZE]
跡	~*[IF]::[OZLF][LFW][OFV]
跢	~*[OZCC]
跣	~*[OZSR]
跤	~*[OZLX]
跥	~[OZRT]
跦	~*[OZSS][OZSB]
跧	~[OZBKV][OZBK]
跨	~*[OZX]::[OZDKV][OZDK]
跩	~*[OZI]::[OZIX][OZQX]
跪	~*[OZNP]
跫	~*[IRAZ][IZOZ]
跬	~*[OZYY]
跭	~*[OZPS]
跮	~[OZPR][OZP]
路	~*[LO]::[OZPO]
跰	~*[OZBK]
跱	~[OZYAV][OZYA]
跲	~*[OZAO]
跳	~*[OZR]::[OZRB]
跴	~[OZCV][OZC]
跺	~*[OZRT]
跼	~*[OZOO]::[OZCOV][OZCO]
跽	~*[OZFH][OZOH]
跾	~*[PIPZ]
跿	~[OZYZV][OZYZ]
踀	~*[OZOZ]
踁	~*[OZEI][OZSI][OZUI]
踂	~*[OZRL]
踃	~*[OZSU]
踄	~*[OZZS]
踅	~*[JKOZ][TKOZ]
踆	~*[OZH]::[OZUP]
踇	~*[OZVM]
踈	~*[OZJS]::[OZVSV][OZVS]
踉	~[OZAKV][OZAV][OZA][OZAK]
踊	~*[OZT]::[OZTQ]
踋	~[OZYPV][OZYP]
踍	~*[OZYZ]
踎	~[OZBO]
踏	~*[OZWD]
踐	~*[OZK]::[OZAQ][OZAF]
踑	~[OZKBV][OZKB]
踒	~*[OZHG]
踓	~[OZVV][OZV]
踔	~*[OZZJ]::[OZQ]
踕	~*[OZJZ][OZZZ]
踖	~[OZRDV][OZRD]
踗	~*[OZAH]
踘	~*[OZNM]
踙	~[OZRUV][OZRU]
踚	~*[OZAM]
踛	~*[OZY]::[OZQU][OZYYV][OZYY]
踜	~*[OZYP]::[OZYV][OZY]
踝	~*[OZQT]
踞	~*[OZCO]
踟	~*[OZVO]
踠	~[OZNPV][OZNP]
踡	~*[OZBP][OZBL]::[OZPV][OZP]
踢	~*[OZE]::[OZDM]
踣	~[OZLOV][OZLO]
踤	~*[OZJJ]
踥	~*[OZLG]
踦	~[OZDOV][OZVR][OZDO][OZV]
踧	~*[OZFU]
踨	~*[OZBZ]
踩	~*[OZET]::[OZM]
踪	~[OZNSR][OZNS]
踫	~*[OZB]::[OZBE][OZBO]
踭	~[OZNE]
踮	~[OZLOR][OZLO]
踰	~*[OZAR]::[OZA]
踱	~*[OZLU]
踲	~*[OZKM]
踳	~[OZFDV][OZFD]
踴	~*[OZTD]
踵	~*[OZGQ]
踶	~*[OZDZ]::[OZJ]
踷	~*[OZYD]::[OZH]
踸	~*[OZKL][OZKR]::[OZKBR][OZK][OZKB]
踹	~*[OZD]::[OZER]
踺	~*[OZEW]
踻	~*[OZOB][OZQO]
踼	~[OZDMV][OZDM][OZE]
踽	~[OZPUV][OZPU]
踾	~[OZEQV][OZEQ]
踿	~*[OZHF]
蹀	~*[OZST]
蹁	~*[OZFM]
蹂	~*[OZMT]
蹃	~*[OZRO]
蹄	~*[OZLN]
蹅	~*[OZTE]
蹆	~[OZDWV][OZDW]
蹇	~*[NJOZ]
蹈	~*[OG]::[OZEG]
蹉	~*[OZBI]
蹊	~*[OZED]
蹋	~*[OZDE]
蹌	~[OZAOV][OZAO]
蹍	~*[OZCK]
蹎	~[OZJBV][OZJB]
蹏	~*[OZLR]
蹐	~*[OZBU][OZWU]::[OZFUV][OZRUR][OZFU][OZRU]
蹓	~*[OZDQ][OZOQ]
蹔	~*[CKOZ]
蹕	~*[OZQ]::[OZQQ]
蹖	~*[OZFG]
蹗	~*[OZLB]
蹘	~*[OZEM]
蹙	~*[AQPZ]
蹚	~*[OZSO][OZSY]
蹛	~[OZFNV][OZFN]
蹜	~*[OZND]
蹝	~[OZMZV][OZMZ]
蹞	~[OZFBV][OZFTV][OZFB][OZFT]
蹟	~*[OZHB]
蹠	~[OZLFV][OZLF]
蹡	~*[OZGA]
蹢	~[OZLOS][OZXV][OZLO][OZX]
蹣	~[OZRBV][OZRB]
蹤	~*[OZMZ][OZNS]
蹥	~*[OZCW]
蹦	~*[OZEU]
蹧	~[OZRDR][OZRD]
蹨	~*[OZJF][OZUF]::[OZNFV][OZNF]
蹩	~*[BOZ]::[SNSZ]
蹪	~*[OZCB]::[OZQV][OZQ]
蹫	~*[OZMO]
蹬	~*[OZJD]
蹭	~*[OZBD]::[OZBS][OZB]
蹮	~*[OZCP]::[OZCL]
蹯	~*[OZMQ]
蹰	~[OZLAV][OZLA]
蹱	~*[OZLQ]
蹲	~*[OZBA]
蹳	~[OZFV][OZJUV][OZF][OZJU]
蹴	~*[OZG]::[OZLK]
蹵	~*[LHSZ][LOSZ][LSAZ]::[GOZV][GOZ]
蹶	~*[OZLI]
蹷	~[LBEZV][LBEZ]
蹸	~*[OZMS]
蹹	~*[OZAE]
蹺	~*[OZYR][OZQR]
蹻	~*[OZGO]::[OZGV][OZG]
蹼	~*[OZV]::[OZFD][OZFB]
蹽	~*[OZDS]::[OZL]
蹾	~*[OZLP]
躀	~[OZO][OZOB]
躁	~*[OZOT][OZLT]
躂	~*[OZYW][OZDW]
躃	~[OZCLV][OZCL][OZP]
躄	~*[COLZ]::[POZV][POZ]
躅	~*[OZFC]
躆	~*[OZZQ]::[OZZV][OZZ]
躇	~*[OZRD][OZRH]
躈	~*[OZPP]
躉	~*[RQNZ]
躊	~*[OZYA][OZFA]
躋	~*[OZWH][OZWR]
躌	~*[OZVS]
躍	~*[OVV]::[OZEV][OZGN][OZPD]
躎	~[OZR]
躐	~[OZSSV][OZSV][OZS][OZSS]
躑	~*[OZBB][OZGB]
躒	~*[OZPT][OZWT]::[OZRS][OZR]
躓	~*[OZKB]
躔	~*[OZLY]
躕	~*[OZLA]
躖	~*[OZWE][OZWF][OZWI][OZWL]
躗	~*[MIWZ]
躘	~*[OZLL]::[OZA]
躙	~[OZMVV][OZMV]
躚	~*[OZGW]::[OZCWV][OZCW]
躛	~[MIWZ]
躝	~[OZMSV][OZM][OZMS]
躞	~*[OZIU]::[OZFUR][OZFU]
躟	~[OZLKV][OZLV][OZL][OZLK]
躠	~[RPBZV][RPBZ]
躡	~*[OZRR][OZRU]
躢	~*[OZME]
躣	~*[OZMV]
躤	~[OZRDS][OZRD]
躥	~[OZNSV][OZNS]
躦	~[OZSBR][OZSB]
躧	~[OZLBV][OZL][OZLB]
躨	~*[OZHP]::[OZBPV][OZBP]
躩	~*[OZMU]
躪	~[OZRVV][OZRV]
身	~*[SX]
躬	~*[SQK][SQY]
躭	~[SKLV][SNRV][SKL][SNR]
躮	~[SBD]
躯	~[SFXV][SFX]
躰	~[STEV][STE]
躱	~[SRTV][SRT]
躲	~*[SRT]
躳	~*[SOV]::[SOPOV][SOPO]
躴	~*[SAN]::[SADK]
躵	~*[SDAH]
躶	~[SQTV][SQT]
躷	~[SHGV][SHG]
躸	~[SDTOR][SVOR][SDTO][SVO]
躹	~[SNM]
躺	~*[SSNO]
躻	~*[SNRI][SNBI]
躼	~*[SEK]
躽	~*[SFDG]
躿	~*[SLEW]
軀	~*[SFX]::[SFOO]
軁	~[SMGV][SMG]
軂	~*[SFFD]
軃	~*[SBQJ]::[SOJV][SOOJV][SOJ][SOOJ]
軄	~[SLAD]
軆	~*[SFD]::[SROD]
軇	~*[SYYA]
軉	~[SNKAV][SNKBV][SNKA][SNKB]
車	~*[CJ]
軋	~*[CLL]
軌	~*[CKL][CKX]
軍	~*[NCJ]
軎	~[COO]
軏	~*[CER]
軐	~*[CZX]::[CRA][CZJ]
軑	~[CDNV][CDN]
軒	~*[CGJ]
軓	~*[CRA]
軔	~*[CDA][CDN]
軕	~[CEI]
軖	~[CKES][CKE]
軗	~*[CRU]
軘	~[CELV][CEL]
軙	~*[CZU]
軚	~[CDA]
軛	~*[CLP]
軜	~[CNB]
軝	~[CXXV][CXX]
軞	~[CMLR][CML]
軟	~*[CIN]
軠	~[CKEV][CKE]
軡	~[CAYV][CAY]
軤	~*[CHJ]
軥	~[CNOR][CNO]
軦	~[CORV][COR]
軧	~[CXEV][CXE]
軨	~[CAPV][CATR][CAP][CAT]
軩	~*[CUO]
軪	~[CWDV][CWD]
軫	~*[CBM]
軬	~*[UDC]
軭	~[CFK]
軮	~[CCNV][CCN]
軯	~*[CPJ]
軰	~*[FFC]
軱	~[CGAV][CGA]
軲	~[CJO]
軳	~*[CNOL]::[CNLV][CNL]
軴	~[CAKR][CAK]
軵	~[CPAR][CPA]
軶	~*[CFZ]
軷	~[CAXR][CAXXV][CAX][CAXX]
軸	~*[CIQ]
軹	~*[COB]
軺	~[CDOR][CDO]
軻	~[CTOV][CTO]
軼	~[CSNR][CSN]
軽	~[CSIR][CUIR][CUYR][CSI][CUI][CUY]
軾	~*[CIV]::[CAXI]
軿	~[CBK]
輀	~*[CRI]::[CTNR]
輁	~*[CRB]
輂	~[RBCV][RBC]
較	~*[CLX]
輄	~*[CSER]
輅	~[CPOV][CPO]
輆	~*[CLH]
輇	~[CBKS][CBK]
輈	~*[CZA]
載	~*[JC]::[JAQC]
輊	~[CPER][CPE]
輋	~[EDCR][EDC]
輍	~*[CWO]::[CBBO]
輎	~[CSUR][CSU]
輏	~[CEO]
輐	~*[CNRR]
輑	~*[CEO]
輒	~*[CRL]
輓	~*[CEL]::[CNCR][CDCR]
輔	~*[CIJ]::[CAJQ]
輕	~*[CSI][CUI][CUY]::[CESI]
輖	~[CNOS][CNYOV][CNO][CNYO]
輗	~[CGRV][CGR]
輘	~*[CYX]::[CYBP][CYRP]
輙	~[CRUV][CRU]
輚	~*[CAQQ]::[CKXR][CKX]
輛	~*[CEB]::[CENB][CTNB]
輜	~*[CSQ]
輝	~*[SC]::[SERC]
輞	~*[CNBF]
輟	~*[CUUU]
輠	~[CQTV][CQT]
輡	~[CNG]
輢	~*[CDTO]::[CVOV][CVO]
輣	~[CUUV][CUU]
輤	~[CHUV][CHU]
輥	~*[CDB]
輦	~*[QNQC][QAQC]
輧	~[CBGGV][CBKW][CPGGV][CBGG][CBK][CPGG]
輨	~[CNB]
輩	~*[RC]::[RSSC]
輪	~*[CAM][CBF]
輫	~[CRSSR][CRSS]
輬	~*[CLS]::[CLOS]
輭	~[CRDF][CTNDV][CRD][CTND]
輮	~[CMTV][CMT]
輯	~*[COR]
輰	~[CDEMV][CDVMV][CEPR][CDEM][CDVM][CEP]
輱	~*[CKO]::[CAQO]
輲	~*[CETR]::[CDIV][CDI]
輳	~*[CFN]::[CFND][CFNN]
輴	~*[CKM][CXM]
輵	~[CDLV][CDNLV][CDL][CDNL]
輶	~[CBER][CBE]
輷	~[CNIV][CNI]
輸	~*[CAI]::[CAUR]
輹	~[CVDPV][CVXV][CVDP][CVX]
輺	~*[CSEQ]
輻	~*[CQ]::[CEOQ]
輼	~[CDFS][COBFR][CDF][COBF]
輽	~*[CUQ]::[CUDQ]
輾	~*[CCRK]
輿	~*[CB]::[GCEB][CGEB]
轀	~[CDFR][COBFV][CDF][COBF]
轁	~*[CEG]
轂	~*[YNCU]::[YNEUR][YNEU]
轃	~[CFNHV][CFNH]
轄	~*[CNHO][CNFO]
轅	~*[CYOK]
轆	~*[CLB]
轇	~[CEEMV][CEMV][CEEM][CEM]
轈	~*[CSQT]
轉	~*[CQA][CXA]::[CJQA][CCUA]
轊	~*[CFFE][CHHE]
轋	~[CCWV][CCW]
轍	~*[CTX]::[CTUP]
轎	~*[CGO]::[CGNO][CGIV][CEDO][CGI][CGNR][CPDO]
轏	~*[CCZZ]
轐	~*[CFB][CVN]::[CFED]
轑	~[CDBSV][CLAR][CDBS][CLA]
轒	~[CJRBV][CJA][CJRB]
轓	~[CMQV][CMQ]
轔	~*[CMC]::[CMCS]
轕	~*[CRDB][CRDL]::[CRD]
轖	~*[CWOO]
轗	~*[CKH]::[CAQH]
轘	~[CFEKV][CONR][CFEK][CON]
轙	~[CBKIV][CBXR][CBKI][CBX]
轚	~[CRUCV][CURCV][CRUC][CURC]
轛	~*[CFEA]::[CAAV][CFAV][CAA][CFA]
轜	~[CURV][CUTRV][CUR][CUTR]
轝	~*[ECJ]
轞	~*[CRF]::[CRVF]
轟	~*[CUU]::[CCCV][CCC]
轠	~[CQQQV][CQQQ]
轡	~*[SCSO][CSSO]
轢	~*[CRN]::[CPDT][CWPT]
轣	~*[CLD]::[CLHZV][CLHZ]
轤	~[CZQFV][CZQF]
轥	~*[CRMV]
辛	~*[LJ]
辜	~*[JOL]
辝	~[UOLV][UOL]
辞	~[GOLS][GOL]
辟	~*[COL]::[PJV][PJ]
辠	~*[PML]
辡	~[LLJV][LLJ]
辢	~*[JCSL]::[VSLR][VSL]
辣	~*[LVS]::[LJCS]
辤	~*[ENUL]
辥	~*[EABL]::[EPBLV][EPBL]
辦	~*[LDL][DBA]
辧	~[LDLS][LDL]
辨	~*[LYL]::[LRLV][LXLV][LRL][LXL]
辪	~*[ZPBL]
辬	~*[LWL]
辭	~*[EJ]::[ETNLV][GOLV][ETNL][GOL]
辮	~*[LSL]
辯	~*[LIL]
辰	~*[FKN]
辱	~*[FKA]
農	~*[FFK][NKN]::[RORK][TTFK]
辳	~[TTFKV][TTFK]
辴	~*[OFK]::[OOQK]
辵	~*[MZN]
辶	~[,WN]
辸	~[RWN]
边	~[DAWV][DWNW][DAW][DWN]
达	~[DWNL][DWN]
辿	~[EWNR][EWN]
迀	~[GWN]
迁	~[GWNR][GWV][GW][GWN]
迂	~*[UWN]
迃	~[RKW]
迄	~*[VZW]
迅	~*[ZWN][RAW][ZJW][ZXW]
迆	~[AWNV][AWN]
过	~[AWNL][AWN]
迉	~[CWNS][CWN]
迊	~[ENWS][TNWV][ENW][TNW]
迋	~[KWNS][KWN]
迌	~[UWNV][UWN]
迍	~[EWNS][EWN]
迎	~*[FPW]::[ENWV][ENW]
迏	~[DAWR][DAW]
近	~*[KWN]
迒	~*[LRW]
迓	~[XWNV][YWNR][XWN][YWN]
返	~*[LUW]
迕	~[WWNF][WWN]
迖	~*[ADW]
迗	~*[EDW][GNW]::[PDWR][PDW]
还	~[BWNS][BWN]
这	~[IWNS][WWNW][IWN][WWN]
迠	~*[ZOW]
迡	~*[CFW]
迢	~[DOWV][DOW]
迣	~[SWNR][SWN]
迤	~*[VAW]
迥	~*[NOW]
迦	~*[DOW]
迧	~*[IQIW]::[IWNF][IWN]
迨	~*[UOW]
迩	~[NSWV][VSWV][NSW][VSW]
迪	~*[IQW]
迫	~*[PDW]
迬	~[AKW]
迭	~*[SNW]
迮	~*[VFW]
迯	~*[CPW]
述	~*[ATW]
迱	~*[NFW]
迴	~*[OOW][OHW]
迵	~*[NEOW]
迶	~*[XUW]::[XWNR][XWN]
迷	~*[MWN]
迸	~[BKWV][BKW]
迹	~[LFWR][LFW]
迺	~*[CWV]::[CWNR][CWN]
迻	~*[CCW]
迼	~*[YOW]
追	~*[PBW]
迾	~*[DRW]
迿	~*[NDW]
退	~*[DKW]
送	~*[GWN]::[BGNW][BEDW]
适	~[GOWV][GOW]
逃	~*[RWN]::[RBBW]
逄	~*[PSW]
逅	~*[FOW]
逆	~*[BEW]
逇	~*[YAW]
逈	~*[PNOW]
选	~[SRWV][SRW]
逋	~*[AJNW]::[IWNR][IWN]
逌	~*[ZOFW]
逍	~*[SUW]
逎	~[EWNK][EWN]
透	~*[HRW]
逐	~*[EQW]
逑	~*[AJWW]::[NWNV][NWN]
递	~[BQIWV][BQPWV][TWNS][BQIW][BQPW][TWN]
逓	~*[FJNW]::[LQNWV][LQNW]
途	~*[BHW]::[ATWV][ATW]
逕	~*[SIW][UIW][UYW]::[ESIW]
逖	~*[QFW]
逗	~*[DWV]::[DWNV][DWN]
逘	~*[UVDW]::[AWN]
這	~*[IWN]::[WWNR][WWN]
通	~*[T]::[TNQW][TWNV][TWN]
逛	~*[QKW]
逜	~*[WOW]
逝	~*[JKW]
逞	~*[OKW]
速	~*[VW]::[JCSW][VSW]
造	~*[SOW]
逡	~*[UBPW][URPW]::[HWNV][HWN]
逢	~*[PFW]
連	~*[CWN]
逤	~*[WSW]
逥	~[OHWR][OOWS][OHW][OOW]
逨	~[LWNR][LWN]
逩	~*[DJRW]
逪	~*[RDW]
逫	~*[UUUW]
逬	~*[BGGW][PGPW]::[BKWS][BKW]
逭	~*[NBW]
逮	~*[EWW]
逯	~*[CEWW]
逰	~*[JVZW]
週	~*[NWN]::[NYOW]
進	~*[VWN][JWN]
逳	~*[TUW]
逴	~*[ZDJW]::[QWNV][QWN]
逵	~*[YRYW][YBYW]::[YWNV][YWN]
逶	~*[HGW]
逷	~*[DNMW]::[EWNC][EWN]
逸	~*[NW]::[NCRW][DCRW][EAW]
逺	~*[YGKW][YLKW][YUKW]::[YOKWV][YOKW]
逻	~[FCWV][FCW]
逼	~*[EW]::[EOQW]
逽	~*[RXOW]
逾	~*[AWN]::[AURW]
逿	~*[DENW]::[EWNF][EWN]
遀	~*[XIUW]
遁	~*[KMW][XMW]
遂	~*[BWV]::[BEQW]
遃	~*[LLMW][LPMW][WLMW]
遄	~*[ERW]::[ETNW][DWNF][DWN]
遅	~*[CBHW]
遆	~*[LNNW]
遇	~*[QW]::[QNUW]
遈	~[DEZWV][JWNS][DEZW][JWN]
遉	~*[ZMBW]
遊	~*[FWN]::[FVZW]
運	~*[NCW][TWN]
遌	~*[OORW]::[OWNR][OWN]
遍	~*[FMW]::[MIFM]
過	~*[QOW]::[AWNR][AWN]
遏	~*[DWN]::[DNBW][DNLW]
遐	~*[OFFW]::[OWNV][OWN]
遑	~*[PDKW]
遒	~[BEWV][BEW]
道	~*[HWN]::[BTMW]
達	~*[YWN]::[YBHW][DWNS][DWN][YBGW]
違	~*[WWN]::[WOSW]
遘	~*[JNYW]::[JWNV][JWN]
遙	~*[UW]::[UWUW][EWUW][UUW]
遚	~*[GUW]::[GIUW][IGUW]
遛	~*[OQW]::[DDQW]
遜	~*[ZSW]::[ZPSW][ZESW]
遝	~*[FWW][FQW]
遞	~*[LZRW][BQIW][BQPW][LQNW]::[TWNR][TWN]
遟	~[CLWV][CLW]
遠	~*[YW]::[YOKW][RRW]
遡	~*[BEUW]
遢	~*[DEEW]
遣	~*[UC]::[CEBW]
遤	~[MFW]
遦	~*[OMMW][OXMW]::[OWN]
遧	~*[LDJW]
遨	~*[YFPW][HNPW]
適	~*[GOW][XWN]::[LNJW]
遪	~*[UMW]::[UUUWV][UUUW]
遫	~*[VSPW]::[JCSWV][JCSW]
遬	~*[VSIW]::[JCSW]
遭	~*[RW]::[RFDW][RORW]
遮	~*[LRFW]
遯	~*[UEQW]
遰	~*[FNNW]
遱	~*[MGW]
遲	~*[CW]::[CWSW][CNW]
遳	~[RBBWV][RBBW]
遴	~*[MCW]::[MCSW]
遵	~*[BW]::[BEAW]
遶	~*[YRW]::[YYYW]
遷	~*[GW]::[CDPW][GWNV][CDOW][GWN]
選	~*[OW]::[OLOW][FLFW][SRW]
遹	~*[MNBW][MNRW]
遺	~*[QWN]::[CEMW]
遻	~*[OOBW]
遼	~*[LWN]::[DBDW][WWNV][WWN]
遽	~*[ZW]::[ZEQW][ZWNV][ZWN]
遾	~*[ZWW]
避	~*[PWN]::[COLW]
邀	~*[PW]::[PDFW]
邁	~*[VN]::[RQNW][VWNV][ENW][RWV][VWN]
邂	~*[NDSW]
邃	~*[NRBW][NBBW]
還	~*[OWN]::[FEOW][BWNV][BWN]
邅	~*[LOOW]
邆	~[JDWV][JDW]
邇	~*[NSW]::[RWNV][RWN]
邈	~*[UQPW][EQGW][EQPW][UQGW]
邉	~[PMNWV][PMNW]
邊	~*[MW]::[PMNW][DWNR][DAW][DWN]
邋	~*[SOBW][SOXW]::[SWNV][SWN]
邌	~[HDBW]
邍	~*[PQCW]
邎	~*[UIPW]
邏	~*[FCW]::[FSVW]
邐	~*[LLBW]::[LWNV][LWN]
邑	~[OCLV][OCL]
邒	~[TBIR][TBI]
邓	~[UBIR][UBI]
邔	~*[FLB]
邕	~*[SOC]::[SOCL]
邖	~[EBIF][EBI]
邗	~[GBIR][GBI]
邘	~[UBIV][UBI]
邙	~[FBIV][FBI]
邚	~[GBIL][GBI]
邛	~*[IBI]
邜	~*[CBI]
邞	~*[QNB]
邟	~*[LRB]
邠	~*[BDB]
邡	~[FBIR][FBI]
邢	~*[KBV]::[KBIV][KBI]
那	~*[EBI]
邤	~[KBIC][KBI]
邥	~[KBIR][KBI]
邦	~*[FBI]
邧	~*[RRB]
邨	~[EBIS][EBI]
邩	~[FBIS][FBI]
邪	~*[XBI][YBI]
邫	~[FOCLV][FOCV][FOC][FOCL]
邭	~[NOBV][NOB]
邯	~[GBIS][GBI]
邰	~*[UOB]
邱	~*[KEB][POB]
邲	~*[HPB]
邳	~*[BEB]
邴	~[EBIR][ENBBV][EBI][ENBB]
邵	~*[DOB]
邶	~*[FFB]
邷	~[WBIF][WBI]
邸	~*[XEB]
邹	~[NEBV][NEB]
邼	~*[FKB]
邽	~*[YYB]
邾	~*[SSB]::[SBBV][SBB]
邿	~*[YAB]
郀	~*[DRKB]::[XBIF][XBI]
郁	~*[XUB]::[XBIV][XBI]
郂	~*[LHB]
郃	~*[AOB]
郄	~[XXUBV][XXUB]
郅	~[PBIV][PBI]
郆	~*[YOB]
郇	~*[NDB]
郈	~[FOBV][FOB]
郉	~*[GGB]::[KBIB][KBI]
郊	~*[LXB]
郋	~*[PMB]
郌	~*[YYOL][YYOC]
郍	~[ZBIV][ZBI]
郎	~*[ABI]::[ADUB][ADKB]
郒	~*[AOC]::[ADKC][ADKL][ADUC][ADUL][AOCL]
郔	~*[PZWB]
郕	~*[AQNB]::[ABIV][ABI]
郖	~*[DBI]
郗	~*[XXNB]
郘	~[OPOBV][OPOB]
郙	~*[AJNB]::[IBIV][IBI]
郚	~[WOBV][WOB]
郛	~*[EZB]
郜	~[SOBV][SOB]
郝	~*[YFB]
郞	~[ABIS][ADKBV][ABI][ADKB]
郟	~[GBIF][GBI]
郠	~*[TQXB]::[TBIV][TBI]
郡	~*[EOB]
郢	~*[OKB]
郣	~*[JNZB]
郤	~*[YUB]::[BBOB][WBIV][WBI]
郥	~[MBBV][MBB]
部	~*[LOB]
郩	~*[XXB]::[XXUB]
郪	~*[JEGB]::[JGBV][JGB]
郫	~*[PGB]::[PQGB]
郬	~*[HUB]
郭	~*[LZB]::[LOZB][LHZB]
郮	~*[NYOB]::[NBIV][NBI]
郯	~[FFBV][FFB]
郰	~[RUBV][RUB]
郱	~*[BKB]
郲	~[LBIS][LBI]
郳	~*[GRB]
郴	~*[TTB]
郵	~*[GBI][IQB]::[GJJB]
郶	~*[LOOC][LOOL]
郷	~[WDUB][XI]
郹	~[MADBV][MADB]
郺	~*[CCSC][CCSL]
郻	~*[MESB][MLSB]
郼	~*[WOSB]::[WBIS][WBI]
都	~*[YB]::[YPDB][HBI][YPAB]
郾	~*[FDGB]
郿	~[CMBV][CMB]
鄀	~*[RXOB]
鄁	~*[FFUB]
鄂	~*[OBI]::[OORBV][OORB]
鄃	~*[AURB]::[ABIR][ABI]
鄄	~*[CYB]
鄅	~[PCNBV][PCNB]
鄆	~*[NCB]
鄇	~*[PFVB]
鄈	~*[JEDB][JGNB]::[KBIL][KBIS][KBI]
鄉	~*[XI]::[WADB][WAB]
鄊	~[WRBR][WRB]
鄋	~*[GIUB]::[GUBV][GUB]
鄌	~*[LEOB]
鄍	~*[NDLB]
鄎	~*[PMHB]
鄏	~*[FKAB]
鄐	~*[LWQB]
鄑	~*[EFEB][EUUB]
鄒	~*[NEB]::[NENB]
鄓	~*[PMAB]
鄔	~[WFBV][WFB]
鄕	~[WPDB][WADBV][WDUBV][XIR][WADB][WDUB][XI]
鄖	~*[OMBB]
鄗	~*[QBI]::[LONB][LHNB][LNOB]
鄘	~*[LENB]
鄙	~*[OBV]::[OLOB][OJOB]
鄚	~*[RDDB]
鄛	~*[SQTB]
鄜	~[LBBV][LBB]
鄝	~*[EMB]::[EEBB]
鄞	~*[RCB]
鄟	~*[CUAB][JQUB]::[XBIR][XBI]
鄠	~*[URKB]
鄡	~*[NTB]
鄢	~*[EZKB]
鄣	~[LDJBV][LDJB]
鄤	~*[MBI]::[DFUB]
鄥	~[NFBS][NFB]
鄦	~*[EKB][GLB]::[VFFB]
鄧	~*[JDB][UBI]
鄨	~*[BOC]::[BOCL][SNSL][SNSCV][SNSC]
鄩	~*[EIOB]
鄪	~*[VMBB]
鄫	~*[BBI]::[BQDB]
鄬	~*[BWFB][EWFB][YWFB]::[WBIR][WBI]
鄭	~*[BBV]::[BEDB][GBIV][BGNB][GBI]
鄮	~[DDMBV][OMBBV][DDMB][OMBB]
鄯	~*[BHBB][BHRB][BKBB][BKRB]
