$	~*[,DOL][,SIS][,SI]
虍	~*[,ZL][ZL]
虎	~*[ZRL]*[ZRZ]
虐	~*[ZEE]
虔	~*[ZWX]
處	~*[ZV][PPAV][PRZR][ZPRV][PPA][PRZ][ZPR]
虚	~*[ZFE]
虜	~*[ZDX]*[ZDY]*[ZQD]
虞	~*[ZOED]*[ZOGN]*[ZOKB]*[ZOKD]
號	~*[OR][OKZR][OKKV][OKK]
虧	~*[ZK][ZVEK][ZVRK]
虫	~[CAV][CA]
虱	~[LCAV][ZCAV][LCA][ZCA]
虹	~*[CIE]
虻	~[CFLV][CFL]
蚊	~*[CWX]
蚋	~[CNBR][CNB]
蚌	~*[CFJ]
蚓	~*[CQI]
蚕	~*[EDC]*[GNC]*[PDC]
蚣	~*[CBU]
蚤	~*[UAC]*[UBC]
蚩	~[ECAR][ECA]
蚪	~*[CDJ]
蚫	~*[CNL][CNFL][CNOL]
蚯	~*[CKE]*[CPO]
蚰	~[CIQR][CIQ]
蚶	~*[CGO]
蛄	~[CJOV][CJO]
蛆	~*[CME]
蛇	~*[CNF]
蛉	~*[CAP]*[CAT]
蛋	~*[FBC]*[YZC]
蛍	~*[RNC][FFNC][SNCV][SNC]
蛎	~*[CFN]*[CLV][CLEN]
蛔	~[COOV][COO]
蛙	~*[CYY]
蛛	~*[CSB]*[CSS]
蛞	~[CGOV][CGO]
蛟	~[CLXV][CLX]
蛤	~*[CAO]
蛩	~*[IZC][IRAC]
蛬	~*[RBC]
蛭	~[CPEV][CPE]
蛮	~*[LFC][ISSC][SISC]
蛯	~*[CYPF]
蛸	~[CSUV][CSU]
蛹	~*[CTJ][CTNQ]
蛻	~*[CBOR]
蛾	~*[CIX]
蜀	~[FNCV][FNC]
蜂	~*[CPF]
蜃	~*[FKC]
蜆	~*[CMR]
蜈	~*[COED]*[COGN]*[COKB]*[COKD]
蜉	~*[CEZ]
蜊	~*[CHR]
蜍	~*[CBH][CATV][CAT]
蜑	~*[PZWC]
蜒	~*[CPZW]
蜘	~*[CVDO]
蜚	~[RSSCV][RSSC]
蜜	~*[XC][NHPC]
蜥	~*[CTK]
蜩	~*[CNO][CNYO]
蜴	~*[CEP][CDNM]
蜷	~*[CPL][CBNL][CBNP]
蜻	~*[CHU]
蜿	~*[CNCP]
蝉	~*[COJ][COOJ][CSQJ]
蝋	~*[CSOS]*[CSRQ]
蝌	~*[CHD]
蝎	~*[CDL][CDNB][CDNF][CDNL]
蝓	~[CAIV][CAURV][CAI][CAUR]
蝕	~*[XCA]
蝗	~*[CPDK]
蝙	~*[CFM]
蝟	~*[CQU]
蝠	~[CEOQV][CEOQ]
蝣	~*[CFVZ][CFJV][CFJ]
蝦	~*[CFA]*[COX][COFU]
蝨	~*[ZCC][RACC][ZJCC][ZXCC]
蝪	~*[CDEM][CEPV][CEP]
蝮	~*[CVX][CVDP]
蝴	~*[CFU][CJOU]
蝶	~*[CST]
蝸	~*[CQO][CONB]
蝿	~*[CXL][CQIL][CQQL]
螂	~*[CAB][CADB]
融	~*[EC][EONC]
螟	~*[CNDL]
螢	~[FFNCR][RNCR][FFNC][RNC]
螫	~[YFPCV][YFPC]
螯	~*[HNPC]*[YFPC]
螳	~*[CSNY]
螺	~*[CQS]
螻	~[CMGV][CMG]
螽	~*[PBCC]
蟀	~*[CLJ][CLBJ][CLWJ]
蟄	~*[JZC][YBGC][YZCV][YZC]
蟆	~*[CRDD]
蟇	~*[RDDC]
蟋	~*[CMH]
蟐	~*[CSNN]
蟒	~[CRARV][CRDRV][CRAR][CRDR]
蟠	~*[CMQ]
蟯	~*[CYR][CQER][CYYR]
蟲	~[CAR][CCCV][CA][CCC]
蟶	~*[CROK]
蟷	~*[CSO][CSNQ]
蟹	~*[NBHC]*[NDSC]
蟻	~*[CAX]*[CBX][CBKI]
蟾	~*[CVO][CNBI][CNLI]
蠅	~*[COQL][CXLV][CXL]
蠇	~*[CRQU]
蠍	~*[CDI][CDNI]
蠎	~*[CRAR]*[CRDR]
蠏	~*[CNDS]
蠑	~*[CFFT]*[CRNT]*[CSNT]
蠕	~*[CUR][CUTR]
蠖	~*[CRVU]
蠡	~*[CEQC]*[EQCC]
蠢	~*[FNDC]
蠣	~*[CLRU]
蠧	~*[YNLC]
蠱	~*[CFE][CCCF]
蠶	~*[KKDC]
蠹	~*[JCNC]*[VNLC]
蠻	~[ISSCV][LFCV][SISCV][ISSC][LFC][SISC]
血	~*[PFE]
衂	~*[PFDN]
衄	~[PFEV][PFE]
衆	~*[BBB]*[FMK]*[FQN]*[PFQ][PFMK][PFPB][PFPW]
行	~*[MV][MIRI]
衍	~[MIWIV][MIWTV][MIWI][MIWT]
衒	~*[MILI]*[MILT]
術	~*[AT][ATL][MIAI][MIAT][ATNV][ATN]
街	~*[ST][MIYI][MIYT]
衙	~[MIWIR][MIWTR][MIWI][MIWT]
衛	~*[PEE][MIWI][MIWT]
衝	~*[MT][MIGI][MIGT]
衞	~[MIWIS][MIWTS][PEEV][MIWI][MIWT][PEE]
衡	~*[UT][MIUI][MIUT]
衢	~*[MIMI]*[MIMT]
衣	~*[LKN]
表	~*[VK][HKN]
衫	~*[VMP]
衰	~*[LDK]
衲	~*[VNB]
衵	~[VDOV][VDO]
衷	~*[JCK]*[LCK]*[VKN]
衽	~*[VKE]
衾	~*[AYLK]
衿	~*[VAY]
袁	~*[YOK]
袂	~*[VJN]
袈	~*[DOLK]
袋	~*[PAXK]
袍	~*[VNL][VNFL][VNOL]
袒	~*[VDE]
袖	~*[VIQ]
袗	~*[VBM]
袙	~*[VPD]
袞	~*[LROK][LOKF][LOK]
袢	~*[VBJ]
袤	~[LMKR][LMK]
被	~*[VPX]
袮	~*[VNS]*[VVS]
袰	~*[OMLK]
袱	~*[VPAD]
袴	~*[VXK][VDRK]
袵	~*[VPK]
袷	~*[VAO]
袿	~*[VYY]
裁	~*[JK][JAQK]
裂	~*[DK][DRLK]
裃	~[VFFV][VFF]
裄	~*[VMII]*[VMIT]
装	~*[GK][GYLK]
裏	~*[LQK]
裔	~*[LKNO]
裕	~*[VWO][VBBO]
裘	~*[NLK][AJWK]
裙	~*[VEO]
補	~*[VIJ]*[VPA][VAJQ]
裝	~[GKV][GYLKV][GK][GYLK]
裟	~*[WSLK]
裡	~*[VQ][VQE]
裨	~*[VPG][VPQG]
裲	~*[VEB][VENB][VTNB]
裳	~*[SNOK]
裴	~*[RSSK]
裵	~*[LRSK]
裸	~*[VQT]
裹	~*[LQBK]*[LQTK]
裼	~*[VEP][VDNM]
製	~*[SK][SNRK]
裾	~*[VCJO]
褂	~*[VYYP]
褄	~*[VJG][VJEG]
複	~*[VP][VVDP][VVX][VDPR][VXR][VDP][VX]
褊	~*[VFM]
褌	~*[VNC]
褐	~*[VDL][VDNF][VDNL]
褒	~*[LPOK]
褓	~*[VPOT]
褜	~*[UNFK]*[UNLK]*[UNOK]
褝	~*[VSQJ]
褞	~*[VDF][VOBF]
褥	~*[VFKA]
褪	~*[VDKW]
褫	~*[VLZR]
褶	~*[VEED]
褸	~*[VMG]
褻	~*[LJZK]*[LYBK]*[LYKK]*[LYRK]*[LYZK]
襁	~*[VQOC]*[VQUC]
襃	~*[LEOK]
襄	~*[LOOK]
襌	~*[VOJ][VBQJ][VOOJ][VSQJV][VSQJ]
襍	~*[VVT]
襖	~*[VPND]*[VPOB]
襞	~*[COLK][PLKV][PLK]
襟	~*[VTTS]
襠	~*[VSE]*[VSO][VSNQ]
襤	~*[VRF][VRVF]
襦	~*[VUR][VUTR]
襪	~*[VRFA]*[VRFB]*[VRFV]
襭	~*[VYOB]*[VYOT]
襯	~*[VAA]*[VLL][VLTR]
襲	~*[ALK][AKPK][LULK]
襴	~*[VMN][VMCS][VMJS]
襷	~*[VEH]*[VEQ]
襾	~*[EUN]*[,CO][COV][ENUR][CO][ENU]
西	~*[CO]
要	~*[V][CGX]
覃	~[ENUJ][CDJV][XJV][CDJ][XJ]
覆	~*[CV][CMIPV][CMIVV][VDPS][VXS][CMIP][CMIV][VDP][VX]
覇	~*[CRCU]
覈	~*[CPDP]
覊	~*[CRCF]
見	~*[MRL]
規	~*[QL][QAMR][QNMR]
覓	~[EMRV][EMR]
視	~*[RR][RSMR]
覗	~*[YEOR][EMRR][EMR]
覘	~*[ZOMR]
覚	~*[SR][SNMR]
覡	~[WMRR][WMR]
覦	~*[AMR][AURR]
覧	~*[VL][RMR][RVER]
覩	~*[HMR][YDMR][YPAR][YPDR]
親	~*[LL][LTMR][LTNV][LTN]
覬	~*[EDMR]
覯	~*[JMR][JNYR]
覲	~*[RCMR]
観	~*[UMR]*[VMR][ROOR][VXVR][RMRV][RMR]
覺	~[SNMRV][SNMR]
覽	~[RFMR][RVAR][RVERV][VLV][RVER][VL]
覿	~*[JMMR]*[YFMR]*[YMMR]
觀	~[RMRR][ROORV][RMR][ROOR]
角	~*[NE]
觚	~*[NGA]*[NGN]
觜	~*[ZFN]
觝	~*[NXE]
解	~*[NDS]
触	~*[NC][NCA]
觧	~*[NBH]
觴	~*[NVDM][NVER][NVE]
觸	~[NFNC][NCAV][NCV][NC][NCA]
言	~*[IO]
訂	~*[ITI]
訃	~*[IPA]
計	~*[IJJ]
訊	~*[IRA]*[IZJ]*[IZX]
訌	~*[IIE]
討	~*[IAA]
訐	~*[IGJ]
訒	~*[IDA]*[IDN]
訓	~*[ISI]
訖	~*[IVZ]
託	~*[IGL]*[JGL]
記	~*[IFL]
訛	~*[IPF]
訝	~*[IXP]*[IYP]
訟	~*[IBU]
訣	~*[IJN]
訥	~*[INB]
訪	~*[IFY]
設	~*[IRU]
許	~*[IWJ]
訳	~*[IG][ICN][IFYG][IUQ][IFYV][IFY]
訴	~*[IKA]
訶	~*[ITO]
訷	~*[III][IIQI]
診	~*[IBM]
註	~*[IAK]
証	~*[IEZ]
詁	~*[IJO]
詆	~*[IXE]
詈	~*[FIO]
詐	~*[IVF]
詑	~*[INF]
詒	~*[IUO]
詔	~[IDOV][IDO]
評	~*[IP][IPJ]
詛	~*[IME]
詞	~*[IEO]*[IOV][IYEO]
詠	~*[IUN]
詢	~*[IND]
詣	~*[IFD]
試	~*[IV][IAXI][IIV]
詩	~*[IYA]
詫	~*[IGV][INGV][ING]
詬	~*[IAO]*[IFO]
詭	~*[INP][INLP]
詮	~*[IBK]
詰	~*[IYO]
話	~*[IGO]
該	~*[IL][ILH]
詳	~*[IBH]
詹	~*[VO]
詼	~*[ILF]*[IXF]
誂	~*[IRBB][IRAV][IRA]
誄	~*[ILN]
誅	~*[ISB]*[ISS]
誇	~*[IXK][IDRK]
誉	~*[EIO][SEBI]
誌	~*[IYH]
認	~*[IBN][IDAH]
誑	~*[IQK]
誓	~*[OI]*[PI][JKI]
誕	~*[IW][IPZW]
誘	~*[IHR]
誚	~*[ISU]
語	~*[IWO]
誠	~*[IAY][IAQN][IAQY]
誡	~*[IAQR]
誣	~*[IWE]
誤	~*[ID][IOED][IOGN][IOKB][IOKD]
誥	~*[ISO]
誦	~*[ITJ][ITNQ]
誧	~*[IIJ][IAJQ]
誨	~*[IM][IVOJ][IVOM][IVOX]
説	~*[IR][IBOR]
読	~*[IB][IYFB][IYM][IYNR]
誰	~*[IVE]
課	~*[IQT]
誹	~*[IRSS]
誼	~*[INM]
誾	~*[MIO]
調	~*[INO][INYO]
諂	~*[ING]
諄	~*[ILZ][ILOZ]
談	~*[IFF]
請	~*[IHU]
諌	~[ICSV][IJQSV][ICS][IJQS]
諍	~*[IEE]*[INE]
諏	~[IRUV][IRU]
諒	~*[ILS][ILOS]
論	~*[IAM]*[IBF]
諚	~*[INEZ]
諛	~*[IGB]
諜	~*[IST]
諞	~*[IFM]
諟	~*[IDEZ][IJNV][IJN]
諠	~*[INEE][INEV][INE]
諡	~*[IAKF]*[IBKF]
諢	~*[INC]
諤	~*[IOK][IOOK]
諦	~*[ILNN]
諧	~*[IBPD]
諫	~*[ICS][IJQS]
諭	~*[IAI][IAUR]
諮	~*[IBIO]*[IRIO]
諱	~*[IWOS][IWJV][IWJ]
諳	~*[ILD]
諶	~*[IKL][IKBL][IKLB][IKLR][IKRL]
諷	~*[ICV][IRCV][IRC]
諸	~*[XG][IDV][IHO][IYD][IYPD]
諺	~*[ILLM]*[ILPM]*[IWLM]
諾	~*[IRO][IRXO]
謀	~*[IGT]
謁	~*[IDL][IDNF][IDNL]
謂	~*[IQU]
謄	~*[UBNI][BNIV][BNI]
謇	~*[NJI]
謌	~*[ITOO]
謎	~*[IMW]
謐	~*[IHPF]
謔	~*[IZE]
謖	~*[IQBP]*[IQRP]
謗	~*[IGY][ILNF]
謙	~*[IQN][IBEF]
謚	~*[IYE][IBEFV][IBEF]
講	~*[IY][IJE][IJNY][IJJV][IJJ]
謝	~*[ISA]
謠	~[IEGUV][IEWUV][IUUV][IUWUV][IEGU][IEWU][IUU][IUWU]
謡	~*[IUU][IEGU][IEWU][IUWU]
謦	~*[YIO][YCRI]
謨	~*[IRDD]
謫	~*[IXO][ILNO]
謬	~*[IEM][IEEM]
謳	~*[IFX][IFOO]
謹	~*[IRC]
謾	~*[IMX][IDFU]
譁	~*[IAJ][IRJQ][IRRJ]
證	~*[IJD]
譌	~*[IBWF]*[IEWF]
譎	~*[IMNO]
譏	~*[IRL]*[IRZ]*[IWB][IWWB]
譓	~*[ICH][ICUH][IJQH]
譖	~*[IKKD]
識	~*[IOB][ILAD]
譚	~*[IXJ][ICDJ]
譛	~*[IQND]
譜	~*[IBD][IBED][IBOD]
譟	~*[ILT][IOOT]
警	~*[NIO][RNOI]
譫	~*[IVO][INBI][INLI]
譬	~*[CIV]*[PIV][COLI][PIOV][PIO]
譯	~[ICNV][IFYGV][IFYR][IUQV][ICN][IFY][IFYG][IG][IUQ]
議	~*[IAX]*[IBX][IBKI]
譱	~*[BHII]
譲	~*[IK][IDJK][IFE][ILJK][ILOK][ILNV][ILN]
譴	~*[IT][ICEW]
護	~*[IU][IRVU][JFPV][JFP]
譽	~[EIOV][SEBIV][EIO][SEBI]
譿	~*[IFFH]
讀	~*[IJM][IJYB][IJYD][IXBD][IYFBV][IYMV][IYNRV][IYFB][IYM][IYNR]
讃	~*[IQ][IQNB][ISRB]
變	~[ISSPV][LFPR][LFUV][SISPV][ISSP][LFP][LFU][SISP]
讌	~*[IRFF][IROFV][IROF]
讎	~*[VIV]
讐	~*[VVI]
讒	~*[INCB]*[INOA]
讓	~[IFEV][ILJKV][ILNR][ILOKV][IFE][ILJK][ILN][ILOK]
讖	~*[IBBE][IGJV][IGJ]
讙	~*[IRE][IROV]
讚	~[ISRBV][ISRB]
谷	~*[WO][BBO]
谺	~*[WXP]*[WYP][BBOX][BBOY]
谿	~*[EWDO]*[EWDW]
豁	~*[NFOO]*[NFOW]*[NHOO]*[NHOW]
豆	~*[DE]
豈	~[EDER][EFLS][EDE][EFL]
豊	~*[FD][FDE][RORD]
豌	~*[DNCP]
豎	~*[RUD]
豐	~[FFED][FIFD][FD]
豕	~*[EQN]
豚	~*[UEQ]
象	~*[NN][NCQ]
豢	~*[BNEQ]
豪	~*[LNQ]*[LQV][LHNQ][LNEQ][LONQ]
豫	~*[UNN][UNCQ]
豬	~[EQHV][EQYDV][EQH][EQYD]
豸	~*[EQP]*[UQP]*[,EQ]*[,UQ]
豹	~*[EQNA]*[UQNA]
豺	~*[UQU][EQUV][EQU]
豼	~*[EQB]*[UQB]
貂	~*[EQDO]*[UQDO]
貅	~*[EQPT]*[UQPT]
貉	~*[EQPO]*[UQPO]
貊	~*[EQTD]*[UQTD]
貌	~*[ERV][EQPR][UQPR][EQGRV][PDRR][UQGRV][EQGR][PDR][UQGR]
貍	~*[EQQ]*[UQQ]
貎	~*[EQGR]*[UQGR][EQPRV][UQPRV][EQPR][UQPR]
貔	~*[EQPB]*[UQPB]
貘	~*[EQRD]*[UQRD]
貝	~*[MBA]
貞	~*[ZMB]
負	~*[DMB]*[NMB]
財	~*[MBU]
貢	~*[IMB]
貧	~*[BDMB]
貨	~*[PB][PFMB]
販	~*[MUV][MBLU]
貪	~*[AM][AYMB]
貫	~*[OA][OMMB][OXMB]
責	~*[HMB]
貭	~[KBV][KKMBV][KMBV][XMBV][KB][KKMB][KMB][XMB]
貮	~*[EAXB]
貯	~*[MBNT]
貰	~*[SMB]
貲	~*[ZFMB]
貳	~*[AXRB][,DRR][,DRV][AXRV][AXR][,DR]
貴	~*[QA][CEMB]
貶	~*[MZV][MBBZ][MBPZ]
買	~*[MA][FMB][YBD]
貸	~*[AX][PAXB]
費	~*[VMB]
貼	~*[MOV][MBZO]
貽	~*[MBUO]
貿	~*[DG][DDMB][OMBR][OMB]
賀	~*[DOMB]
賁	~[JRMB][JAVV][JA][JAV]
賂	~*[MBPO]
賃	~*[PKMB]
賄	~*[MBX][MBXU]
資	~*[BB][BIMB][RIMB]
賈	~[CMBV][CMB]
賊	~*[MJV][MBAJ][MBAX]
賍	~*[MBLY]
賎	~*[MBK][MBAF][MBAQ]
賑	~*[MBFK]
賓	~*[NBV][NCMB][NSMB]
賚	~*[GMB]*[LMB]
賛	~*[QNQB]*[SRSB]
賜	~*[MBE][MBDM]
賞	~*[KT][SNOB]
賠	~*[MBLO]
賢	~*[RBV][RUMB][RB]
賣	~*[JMA]*[XBD][JYBD][YFMBV][YMAV][YNRR][YFMB][YMA][YNR]
賤	~[MBAFV][MBAQR][MBKR][MBAF][MBAQ][MBK]
賦	~*[MBW][MBEZ]
質	~*[KB][KKMB][KMB][XMB]
賭	~*[MBH][MBYD]
賰	~*[MBFD]
賴	~[VSNB][JCSBV][VSDBV][JCSB][VB][VSDB]
賺	~*[MBQ][MBBF]
賻	~*[MBAA]*[MBIA]
購	~*[MBJ][MBJY][MBNU]
賽	~*[NB][NJMB]
贄	~*[JZMB]*[YBGB]*[YZMB]
贅	~*[HNPB]*[YFPB]
贇	~*[WEAB]*[WWMB]
贈	~*[MBB][MBBD]
贊	~[SRSBV][SRSB]
贋	~*[LPVB]
贍	~*[MBV][MBNI]
贏	~*[XV][FUMA][FUMZ]
贐	~*[MBEF]
贒	~*[RCHB]
贓	~*[MRV][MBAR][MBRR][MBLYV][MBLY]
贔	~*[MBS][MBMB]
贖	~*[MBJD]*[MBXD]*[MBYB]*[MBYM]
赤	~*[YFA]
赦	~*[YFP]
赧	~*[YFOU]*[YFPU]
赫	~*[YFYF]
赭	~*[YFH][YFYD]
走	~*[YZN]
赱	~[YBNV][YZNR][YBN][YZN]
赳	~*[YZG]
赴	~*[YZP]
赶	~[YZGV][YZG]
起	~*[YL][YZFL][YZOL]
趁	~*[YM][YZBM]
超	~*[YO][YZDO]
越	~*[UV][YZAF][YZAI][YZAP]
趙	~*[YZSU][YZXV][YZX]
趣	~*[KU][YZRU]
趨	~*[ZC][YZNE]
足	~*[OZN]
趺	~*[OZQN]
趾	~*[OZZ]
跂	~*[OZJU]
跋	~*[OZA][OZAX]
跌	~*[OZ][OZSN]
跏	~*[OZDO]
跖	~*[OZLO]
跚	~*[OZM][OZNE][OZNR]
跛	~*[OZP]
距	~*[OF][OZFF]
跟	~*[OZDK]
跡	~*[IF][LFW][OFV][OZLF]
跣	~*[OZSR]
跨	~*[OZX][OZDKV][OZDK]
跪	~*[OZNP]
跫	~*[IRAZ]*[IZOZ]
路	~*[LO][OZPO]
跳	~*[OZR][OZRB]
践	~*[OZK][OZAF][OZAQ]
跼	~*[OZCO]*[OZOO]
跿	~*[OZYZ]
踈	~*[OZJS]*[OZVS]
踉	~*[OZAK][OZAV][OZA]
踊	~*[OZT][OZTQ]
踏	~*[OZWD]
踐	~[OZAFV][OZAQV][OZKV][OZAF][OZAQ][OZK]
踝	~*[OZQT]
踞	~[OZCOV][OZCO]
踟	~*[OZVO]
踪	~*[OZNS]
踰	~*[OZAR][OZA]
踴	~*[OZTD]
踵	~*[OZGQ]
蹂	~*[OZMT]
蹄	~*[OZLN]
蹇	~*[NJOZ]
蹈	~*[OG][OZEG]
蹉	~*[OZBI]
蹊	~*[OZED]
蹌	~*[OZAO]*[OZBP]
蹐	~*[OZBU]*[OZFU]*[OZWU]
蹕	~*[OZQ][OZQQ]
蹙	~*[AQPZ]
蹟	~*[OZHB]
蹠	~[OZLFV][OZLF]
蹣	~[OZRBV][OZRB]
蹤	~*[OZMZ]
蹲	~*[OZBA]
蹴	~*[OZG][OZLK]
蹶	~*[OZLI]
蹼	~*[OZV][OZFB][OZFD]
躁	~*[OZLT]*[OZOT]
躄	~*[COLZ][POZV][POZ]
躅	~*[OZFC]
躇	~*[OZRD]
躊	~*[OZFA]*[OZYA]
躋	~*[OZWH]*[OZWR]
躍	~*[OZEV]
躑	~*[OZBB]*[OZGB]
躓	~*[OZKB]
躔	~*[OZLY]
躙	~*[OZMV]
躡	~*[OZRR]*[OZRU]
躪	~*[OZRV]
身	~*[SX]
躬	~*[SQK]*[SQY]
躯	~*[SFX][SFOO]
躰	~*[STE]
躱	~*[SRT]
躾	~*[SBKD]
軅	~*[SLPV]
軆	~*[SROD][SFDV][SFD]
軈	~*[SLPH][SIAV][SIA]
車	~*[CJ]
軋	~*[CLL]
軌	~*[CKL]*[CKX]
軍	~*[NCJ]
軏	~*[CER]
軒	~*[CGJ]
軛	~*[CLP]
軟	~*[CIN]
転	~*[CTA]
軣	~*[CBB][CFAV][CFA]
軫	~*[CBM]
軸	~*[CIQ]
軻	~*[CTO]
軼	~[CSNV][CSN]
軽	~*[CSI]*[CUI]*[CUY][CESI]
軾	~*[CAXI]
較	~*[CLX]
輅	~[CPOV][CPO]
載	~*[JC][JAQC]
輊	~[CPER][CPE]
輌	~*[CEB][CENB][CENE][CENU][CTNB][CTNE][CTNU]
輒	~*[CRL]
輓	~*[CEL][CDCR][CNCR]
輔	~*[CIJ][CAJQ]
輕	~[CESIV][CSIV][CUIV][CUYV][CESI][CSI][CUI][CUY]
輙	~*[CRU]
輛	~[CEBV][CENBV][CTNBV][CEB][CENB][CTNB]
輜	~*[CSQ]
輝	~*[SC][SERC]
輟	~*[CUUU]
輦	~*[QAQC]*[QNQC]
輩	~*[RC][RSSC]
輪	~*[CAM]*[CBF]
輯	~*[COR]
輳	~*[CFND][CFNV][CFN]
輸	~*[CAI][CAUR]
輹	~[CVDPV][CVXV][CVDP][CVX]
輻	~*[CQ][CEOQ]
輾	~*[CCRK]
輿	~*[CB][GCEB]
轂	~*[YNCU][YNEUS][YNEU]
轄	~*[CNFO]*[CNHO]
轅	~*[CYOK]
轆	~*[CLB]
轉	~*[CXA][CCUA][CJQA]
轌	~*[CUE]
轍	~*[CTX][CTUP]
轎	~*[CEDO]*[CGNO]*[CGNR]*[CPDO]*[CPDR][CGOR][CGO]
轗	~*[CAQH][CKHV][CKH]
轜	~[CURV][CUTRV][CUR][CUTR]
轟	~*[CCC]*[CUU]
轡	~*[CSSO]*[SCSO]
轢	~*[CRN][CPDT][CWPT]
轣	~*[CLD][CLHZ]
轤	~*[CZQF]
辛	~*[LJ]
辜	~*[JOL]
辞	~*[EJ][GOLV][GOL]
辟	~*[COL][PJR][PJ]
辣	~*[LVS][LJCS]
辧	~[LDLV][LDL]
辨	~*[LYL][LXLV][LXL]
辭	~[ETNLV][GOLS][ETNL][GOL]
辮	~*[LSL]
辯	~*[LIL]
辰	~*[FKN]
辱	~*[FKA]
農	~*[FFK]*[NKN][RORK][TTFK]
辷	~[EWNS][EWN]
辺	~*[DAW]*[DWN]
辻	~*[JWN]
込	~*[BWN]
辿	~[EWNR][EWN]
迂	~*[UWN]
迄	~*[VZW]
迅	~*[RAW]*[ZWN]
迎	~*[FPW]
近	~*[KWN]
返	~*[LUW]
迚	~[CWNS][CWN]
迢	~[DOWV][DOW]
迥	~*[NOW]
迦	~*[DOW]
迩	~*[NSW][RWNV][VSWV][RWN][VSW]
迪	~[IQWV][IQW]
迫	~[PDWV][PDW]
迭	~*[SNW]
迯	~*[CPW]
述	~*[ATW]
迴	~[OOWV][OOW]
迷	~*[MWN]
迸	~[BKWV][BKW]
迹	~[LFWV][LFW]
迺	~[CWNF][CWN]
追	~*[PBW]
退	~*[DKW]
送	~*[GWN][BEDW][BGNW]
逃	~*[RWN][RBBW]
逅	~*[FOW]
逆	~*[BEW]
逋	~*[AJNW][IWNR][IWN]
逍	~*[SUW]
逎	~[EWNF][EWN]
透	~*[HRW]
逐	~*[EQW]
逑	~*[AJWW][NWNV][NWN]
逓	~*[BQIW]*[BQPW]*[LQNW]*[LZRW][TWNV][TWN]
途	~*[BHW]
逕	~*[SIW]*[UIW]*[UYW][ESIW]
逖	~*[QFW]
逗	~[DWNV][DWN]
這	~*[IWN]
通	~*[T][TNQW][TWN]
逝	~*[JKW]
逞	~*[OKW]
速	~*[VW][JCSW][VSW]
造	~*[SOW]
逡	~*[UBPW]*[URPW][HWNV][HWN]
逢	~*[PFW]
連	~*[CWN]
逧	~*[BBOW][WWNV][WWN]
逮	~*[EWW]
週	~*[NWN][NYOW]
進	~*[VWN]
逵	~*[YBYW]*[YRYW][YWNV][YWN]
逶	~*[HGW]
逸	~*[NW][NCRW][EWNV][EWN]
逹	~[YBGWV][YBHWV][YWNR][YBGW][YBHW][YWN]
逼	~*[EW][EOQW]
逾	~*[AURW][AWNV][AWN]
遁	~*[KMW]*[XMW]
遂	~*[BEQW]
遅	~*[CW][CBHW][CWSW]
遇	~*[QW][QNUW]
遉	~*[ZMBW]
遊	~*[FWN][FVZW]
運	~*[NCW]
遍	~*[FMW]
過	~*[QOW]
遏	~*[DNBW]*[DNLW][DWNR][DWN]
遐	~*[OFFW][OWNV][OWN]
遑	~*[PDKW]
遒	~[BEWV][BEW]
道	~*[HWN][BTMW]
達	~*[YWN][YBGW][YBHW][DWNS][DWN]
違	~*[WWN][WOSW]
遖	~*[JNBW][NWNR][NWN]
遘	~*[JNYW][JWNV][JWN]
遙	~*[UW][EGUWV][EWUWV][UUWV][UWUWV][EGUW][EWUW][UUW][UWUW]
遜	~*[ZSW][ZESW][ZPSW]
遞	~[LZRWV][LZRW]
遠	~*[YW][YOKW]
遡	~*[BEUW]
遣	~*[UC][CEBW]
遥	~*[UUW][EGUW][EWUW][UWUW]
遧	~*[LDJW]
遨	~*[HNPW]*[YFPW]
適	~*[XWN][LNJW]
遭	~*[RW][RFDW][RORW]
遮	~*[LRFW]
遯	~*[UEQW]
遲	~[CBHWV][CWSWV][CWV][CBHW][CW][CWSW]
遵	~*[BW][BEAW]
遶	~*[YRW][QERW][YYYW]
遷	~*[GW][CDFW][CDOW][GWNV][GWN]
選	~*[OW][FLFW][OLOW]
遺	~*[QWN][CEMW]
遼	~*[LWN][DBDW]
遽	~*[ZW][ZEQW][ZWNV][ZWN]
避	~*[PWN][COLW]
邀	~*[PW][PDFW]
邁	~*[VN][RQNW][VWNV][VWN]
邂	~*[NDSW]
邃	~*[NBBW]*[NRBW]
還	~*[OWN][FEOW][BWNV][BWN]
邇	~[RWNS][RWN]
邉	~[PMNWV][PMNW]
邊	~*[MW][PMNW]
邏	~*[FCW][FSVW]
邑	~*[OCL]
那	~*[EBI][EBIV]
邦	~*[FBI]
邨	~[EBI]
邪	~*[XBI]*[YBI]
邯	~[GBIR][GBI]
邱	~[KEBV][POBV][KEB][POB]
邵	~*[DOB]
邸	~*[XEB]
郁	~*[XUB]
郊	~*[LXB]
郎	~*[ABI][ADUB]
郛	~*[EZB]
郞	~*[ADKB][ABIV][ABI]
郡	~*[EOB]
郢	~*[OKB]
郤	~*[WBI]*[YUB][BBOB]
部	~*[LOB]
郭	~*[LZB][LHZB][LOZB]
郵	~*[GBI]*[IQB][GJJB][GRYB]
郷	~*[XI][WAB][WADB][WDUB]
都	~*[YB][HBI][YDB][YPDB]
鄂	~*[OBI][OORBV][OORB]
鄒	~*[NEB][NENB]
